game_url,away_team_name,away_team_initials,away_record_status,away_Q1,away_Q2,away_Q3,away_Q4,away_final_score,home_team_name,home_team_initials,home_record_status,home_Q1,home_Q2,home_Q3,home_Q4,home_final_score,stadium_name,stadium_attendance,stadium_capacity,game_location,game_date
https://www.espn.com/nfl/playbyplay/_/gameId/401437766,Chicago Bears,CHI,"2-3, 0-3 away",3,7,9,3,22,Minnesota Vikings,MIN,"4-1, 3-0 home",7,14,0,8,29,U.S. Bank Stadium,"66,929","66,468","Minneapolis, MN ","1:00 PM, October 9, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437767,Detroit Lions,DET,"1-4, 0-2 away",0,0,0,0,0,New England Patriots,NE,"2-3, 1-1 home",3,13,10,3,29,Gillette Stadium,"65,878","65,878","Foxboro, MA ","1:00 PM, October 9, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437768,Seattle Seahawks,SEA,"2-3, 1-2 away",10,9,0,13,32,New Orleans Saints,NO,"2-3, 1-2 home",3,14,14,8,39,Caesars Superdome,"70,003","73,000","New Orleans, LA ","1:00 PM, October 9, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437769,Miami Dolphins,MIA,"3-2, 1-2 away",0,14,3,0,17,New York Jets,NYJ,"3-2, 1-2 home",5,14,0,21,40,MetLife Stadium,"82,500","82,500","East Rutherford, NJ ","1:00 PM, October 9, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437770,Atlanta Falcons,ATL,"2-3, 1-2 away",0,0,0,15,15,Tampa Bay Buccaneers,TB,"3-2, 1-2 home",0,13,8,0,21,Raymond James Stadium,"68,299","65,828","Tampa, FL ","1:00 PM, October 9, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437771,Tennessee Titans,TEN,"3-2, 2-1 away",7,7,7,0,21,Washington Commanders,WSH,"1-4, 1-2 home",3,7,7,0,17,FedExField,"51,836","67,617","Landover, MD ","1:00 PM, October 9, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437765,Houston Texans,HOU,"1-3-1, 1-2 away",0,6,0,7,13,Jacksonville Jaguars,JAX,"2-3, 1-1 home",3,3,0,0,6,TIAA Bank Field,"60,018","67,858","Jacksonville, FL ","1:00 PM, October 9, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437772,San Francisco 49ers,SF,"3-2, 1-2 away",7,10,7,13,37,Carolina Panthers,CAR,"1-4, 1-3 home",0,3,9,3,15,Bank of America Stadium,"72,321","73,778","Charlotte, NC ","4:05 PM, October 9, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437774,Dallas Cowboys,DAL,"4-1, 2-0 away",9,7,3,3,22,Los Angeles Rams,LAR,"2-3, 1-2 home",3,7,0,0,10,SoFi Stadium,"74,154","71,500","Inglewood, CA ","4:25 PM, October 9, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437773,Philadelphia Eagles,PHI,"5-0, 3-0 away",7,7,3,3,20,Arizona Cardinals,ARI,"2-3, 0-3 home",0,10,0,7,17,State Farm Stadium,"63,919","65,000","Glendale, AZ ","4:25 PM, October 9, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437775,Cincinnati Bengals,CIN,"2-3, 1-2 away",0,10,0,7,17,Baltimore Ravens,BAL,"3-2, 1-2 home",3,7,3,6,19,M&T Bank Stadium,"70,548","70,745","Baltimore, MD ","8:20 PM, October 9, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437776,Las Vegas Raiders,LV,"1-4, 0-3 away",7,13,0,9,29,Kansas City Chiefs,KC,"4-1, 2-0 home",0,10,14,6,30,GEHA Field at Arrowhead Stadium,"73,523","72,936","Kansas City, MO ","8:15 PM, October 10, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437777,Washington Commanders,WSH,"2-4, 1-2 away",0,3,0,9,12,Chicago Bears,CHI,"2-4, 2-1 home",0,0,7,0,7,Soldier Field,"61,873","61,500","Chicago, IL ","8:15 PM, October 13, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437778,San Francisco 49ers,SF,"3-3, 1-3 away",0,14,0,0,14,Atlanta Falcons,ATL,"3-3, 2-1 home",14,7,7,0,28,Mercedes-Benz Stadium,"69,813","75,000","Atlanta, GA ","1:00 PM, October 16, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437779,New England Patriots,NE,"3-3, 2-2 away",3,7,14,14,38,Cleveland Browns,CLE,"2-4, 1-3 home",3,3,0,9,15,Cleveland Browns Stadium,"67,431","67,431","Cleveland, OH ","1:00 PM, October 16, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437780,New York Jets,NYJ,"4-2, 3-0 away",0,3,14,10,27,Green Bay Packers,GB,"3-3, 2-2 home",0,3,7,0,10,Lambeau Field,"78,343","81,041","Green Bay, WI ","1:00 PM, October 16, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437781,Jacksonville Jaguars,JAX,"2-4, 1-3 away",7,7,7,6,27,Indianapolis Colts,IND,"3-2-1, 2-1 home",0,13,6,15,34,Lucas Oil Stadium,"65,749","63,000","Indianapolis, IN ","1:00 PM, October 16, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437782,Minnesota Vikings,MIN,"5-1, 2-1 away",0,10,0,14,24,Miami Dolphins,MIA,"3-3, 2-1 home",0,3,0,13,16,Hard Rock Stadium,"66,100","64,767","Miami Gardens, FL ","1:00 PM, October 16, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437783,Cincinnati Bengals,CIN,"3-3, 2-2 away",7,7,7,9,30,New Orleans Saints,NO,"2-4, 1-3 home",7,13,3,3,26,Caesars Superdome,"70,004","73,000","New Orleans, LA ","1:00 PM, October 16, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437784,Baltimore Ravens,BAL,"3-3, 2-1 away",0,10,3,7,20,New York Giants,NYG,"5-1, 3-1 home",0,7,3,14,24,MetLife Stadium,"78,019","82,500","East Rutherford, NJ ","1:00 PM, October 16, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437785,Tampa Bay Buccaneers,TB,"3-3, 2-1 away",3,6,3,6,18,Pittsburgh Steelers,PIT,"2-4, 1-2 home",7,3,3,7,20,Acrisure Stadium,"67,307","68,400","Pittsburgh, PA ","1:00 PM, October 16, 2022"
